Start Map	X	Y	End Map	DestX	DestY	Group	Friendly Name
NEW_BARK_TOWN	6	3	ELMS_LAB	4	11	New Bark	ELMS_LAB Entrance
NEW_BARK_TOWN	13	5	PLAYERS_HOUSE_1F	6	7	New Bark	PLAYERS_HOUSE_1F Entrance
NEW_BARK_TOWN	3	11	PLAYERS_NEIGHBORS_HOUSE	2	7	New Bark	PLAYERS_NEIGHBORS_HOUSE Entrance
NEW_BARK_TOWN	11	13	ELMS_HOUSE	2	7	New Bark	ELMS_HOUSE Entrance
CHERRYGROVE_CITY	23	3	CHERRYGROVE_MART	3	7	Cherrygrove	CHERRYGROVE_MART Entrance
CHERRYGROVE_CITY	29	3	CHERRYGROVE_POKECENTER_1F	3	7	Cherrygrove	CHERRYGROVE_POKECENTER_1F Entrance
CHERRYGROVE_CITY	17	7	CHERRYGROVE_GYM_SPEECH_HOUSE	2	7	Cherrygrove	Cherrygrove West House Entrance
CHERRYGROVE_CITY	25	9	GUIDE_GENTS_HOUSE	2	7	Cherrygrove	GUIDE_GENTS_HOUSE Entrance
CHERRYGROVE_CITY	31	11	CHERRYGROVE_EVOLUTION_SPEECH_HOUSE	2	7	Cherrygrove	Cherrygrove East House Entrance
VIOLET_CITY	9	17	VIOLET_MART	3	7	Violet	VIOLET_MART Entrance
VIOLET_CITY	18	17	VIOLET_GYM	4	15	Violet	VIOLET_GYM Entrance
VIOLET_CITY	30	17	EARLS_POKEMON_ACADEMY	3	15	Violet	Violet School Entrance
VIOLET_CITY	3	15	VIOLET_NICKNAME_SPEECH_HOUSE	3	7	Violet	VIOLET_NICKNAME_SPEECH_HOUSE Entrance
VIOLET_CITY	31	25	VIOLET_POKECENTER_1F	3	7	Violet	VIOLET_POKECENTER_1F Entrance
VIOLET_CITY	21	29	VIOLET_KYLES_HOUSE	3	7	Violet	Violet Trade House Entrance
VIOLET_CITY	23	5	SPROUT_TOWER_1F	9	15	Violet	Sprout Tower Entrance Entrance
VIOLET_CITY	39	24	ROUTE_31_VIOLET_GATE	0	4	Violet	Violet Exit To Route 31 Gate Entrance
VIOLET_CITY	39	25	ROUTE_31_VIOLET_GATE	0	5	Violet	Violet Exit To Route 31 Gate Entrance 2
AZALEA_TOWN	15	9	AZALEA_POKECENTER_1F	3	7	Azalea	AZALEA_POKECENTER_1F Entrance
AZALEA_TOWN	21	13	CHARCOAL_KILN	2	7	Azalea	CHARCOAL_KILN Entrance
AZALEA_TOWN	21	5	AZALEA_MART	3	7	Azalea	AZALEA_MART Entrance
AZALEA_TOWN	9	5	KURTS_HOUSE	3	7	Azalea	KURTS_HOUSE Entrance
AZALEA_TOWN	10	15	AZALEA_GYM	4	15	Azalea Saved Slowpokes	AZALEA_GYM Entrance
AZALEA_TOWN	31	7	SLOWPOKE_WELL_B1F	17	15	Azalea Met Kurt	SLOWPOKE_WELL_B1F Entrance
AZALEA_TOWN	2	10	ILEX_FOREST_AZALEA_GATE	9	4	Azalea	Azalea Exit to Ilex Gate Entrance
AZALEA_TOWN	2	11	ILEX_FOREST_AZALEA_GATE	9	5	Azalea	Azalea Exit to Ilex Gate Entrance 2
CIANWOOD_CITY	17	41	MANIAS_HOUSE	2	7	Cianwood	Shuckle House Entrance
CIANWOOD_CITY	8	43	CIANWOOD_GYM	4	17	Cianwood	CIANWOOD_GYM Entrance
CIANWOOD_CITY	23	43	CIANWOOD_POKECENTER_1F	3	7	Cianwood	CIANWOOD_POKECENTER_1F Entrance
CIANWOOD_CITY	15	47	CIANWOOD_PHARMACY	2	7	Cianwood	CIANWOOD_PHARMACY Entrance
CIANWOOD_CITY	9	31	CIANWOOD_PHOTO_STUDIO	2	7	Cianwood	CIANWOOD_PHOTO_STUDIO Entrance
CIANWOOD_CITY	15	37	CIANWOOD_LUGIA_SPEECH_HOUSE	2	7	Cianwood	CIANWOOD_LUGIA_SPEECH_HOUSE Entrance
CIANWOOD_CITY	5	17	POKE_SEERS_HOUSE	2	7	Cianwood	POKE_SEERS_HOUSE Entrance
GOLDENROD_CITY	24	7	GOLDENROD_GYM	2	17	Goldenrod	GOLDENROD_GYM Entrance
GOLDENROD_CITY	29	29	GOLDENROD_BIKE_SHOP	2	7	Goldenrod	GOLDENROD_BIKE_SHOP Entrance
GOLDENROD_CITY	31	21	GOLDENROD_HAPPINESS_RATER	2	7	Goldenrod	GOLDENROD_HAPPINESS_RATER Entrance
GOLDENROD_CITY	5	25	BILLS_FAMILYS_HOUSE	2	7	Goldenrod Rocket Corner Block	BILLS_FAMILYS_HOUSE Entrance
GOLDENROD_CITY	9	13	GOLDENROD_MAGNET_TRAIN_STATION	9	17	Goldenrod	GOLDENROD_MAGNET_TRAIN_STATION Entrance
GOLDENROD_CITY	29	5	GOLDENROD_FLOWER_SHOP	2	7	Goldenrod	GOLDENROD_FLOWER_SHOP Entrance
GOLDENROD_CITY	33	9	GOLDENROD_PP_SPEECH_HOUSE	2	7	Goldenrod Rocket Block North	GOLDENROD_PP_SPEECH_HOUSE Entrance
GOLDENROD_CITY	15	7	GOLDENROD_NAME_RATER	2	7	Goldenrod	GOLDENROD_NAME_RATER Entrance
GOLDENROD_CITY	24	27	GOLDENROD_DEPT_STORE_1F	7	7	Goldenrod	GOLDENROD_DEPT_STORE_1F Entrance
GOLDENROD_CITY	14	21	GOLDENROD_GAME_CORNER	2	13	Goldenrod Rocket Corner Block	GOLDENROD_GAME_CORNER Entrance
GOLDENROD_CITY	5	15	RADIO_TOWER_1F	2	7	Goldenrod	RADIO_TOWER_1F Entrance
GOLDENROD_CITY	19	1	ROUTE_35_GOLDENROD_GATE	4	7	Goldenrod	Goldenrod North To Route 35 Gate Entrance
GOLDENROD_CITY	9	5	GOLDENROD_UNDERGROUND_SWITCH_ROOM_ENTRANCES	20	29	Goldenrod	Goldenrod Underground North Entrance
GOLDENROD_CITY	11	29	GOLDENROD_UNDERGROUND_SWITCH_ROOM_ENTRANCES	4	29	Goldenrod Rocket Corner Block	Goldenrod Underground South Entrance
GOLDENROD_CITY	15	27	GOLDENROD_POKECENTER_1F	3	7	Goldenrod	GOLDENROD_POKECENTER_1F Entrance
OLIVINE_CITY	13	21	OLIVINE_POKECENTER_1F	3	7	Olivine	OLIVINE_POKECENTER_1F Entrance
OLIVINE_CITY	10	11	OLIVINE_GYM	4	15	Olivine	OLIVINE_GYM Entrance
OLIVINE_CITY	25	11	OLIVINE_TIMS_HOUSE	2	7	Olivine	OLIVINE_TIMS_HOUSE Entrance
OLIVINE_CITY	0	0	OLIVINE_HOUSE_BETA	2	7	Olivine	OLIVINE_HOUSE_BETA Entrance
OLIVINE_CITY	29	11	OLIVINE_PUNISHMENT_SPEECH_HOUSE	2	7	Olivine	OLIVINE_PUNISHMENT_SPEECH_HOUSE Entrance
OLIVINE_CITY	13	15	OLIVINE_GOOD_ROD_HOUSE	2	7	Olivine	OLIVINE_GOOD_ROD_HOUSE Entrance
OLIVINE_CITY	7	21	OLIVINE_CAFE	2	7	Olivine	OLIVINE_CAFE Entrance
OLIVINE_CITY	19	17	OLIVINE_MART	3	7	Olivine	OLIVINE_MART Entrance
OLIVINE_CITY	29	27	OLIVINE_LIGHTHOUSE_1F	10	17	Olivine	OLIVINE_LIGHTHOUSE_1F Entrance
OLIVINE_CITY	19	27	OLIVINE_PORT_PASSAGE	15	0	Olivine	OLIVINE_PORT_PASSAGE Entrance
OLIVINE_CITY	20	27	OLIVINE_PORT_PASSAGE	16	0	Olivine	OLIVINE_PORT_PASSAGE Entrance 2
ECRUTEAK_CITY	35	26	ROUTE_42_ECRUTEAK_GATE	0	4	Ecruteak	Ecruteak East to Route 42 Gate Entrance
ECRUTEAK_CITY	35	27	ROUTE_42_ECRUTEAK_GATE	0	5	Ecruteak	Ecruteak East to Route 42 Gate Entrance 2
ECRUTEAK_CITY	18	11	ECRUTEAK_TIN_TOWER_ENTRANCE	4	17	Ecruteak	ECRUTEAK_TIN_TOWER_ENTRANCE Entrance
ECRUTEAK_CITY	20	2	WISE_TRIOS_ROOM	7	4	Ecruteak Tin Tower	WISE_TRIOS_ROOM Entrance
ECRUTEAK_CITY	20	3	WISE_TRIOS_ROOM	7	5	Ecruteak Tin Tower	WISE_TRIOS_ROOM Entrance 2
ECRUTEAK_CITY	23	27	ECRUTEAK_POKECENTER_1F	3	7	Ecruteak	ECRUTEAK_POKECENTER_1F Entrance
ECRUTEAK_CITY	5	21	ECRUTEAK_LUGIA_SPEECH_HOUSE	3	7	Ecruteak	ECRUTEAK_LUGIA_SPEECH_HOUSE Entrance
ECRUTEAK_CITY	23	21	DANCE_THEATRE	5	13	Ecruteak	DANCE_THEATRE Entrance
ECRUTEAK_CITY	29	21	ECRUTEAK_MART	3	7	Ecruteak	ECRUTEAK_MART Entrance
ECRUTEAK_CITY	6	27	ECRUTEAK_GYM	4	17	Ecruteak	ECRUTEAK_GYM Entrance
ECRUTEAK_CITY	13	27	ECRUTEAK_ITEMFINDER_HOUSE	3	7	Ecruteak	ECRUTEAK_ITEMFINDER_HOUSE Entrance
ECRUTEAK_CITY	37	7	TIN_TOWER_1F	9	15	Ecruteak Tin Tower	TIN_TOWER_1F Entrance
ECRUTEAK_CITY	5	5	BURNED_TOWER_1F	9	15	Ecruteak	BURNED_TOWER_1F Entrance
ECRUTEAK_CITY	0	18	ROUTE_38_ECRUTEAK_GATE	9	4	Ecruteak	Ecruteak West to Route 38 Gate Entrance
ECRUTEAK_CITY	0	19	ROUTE_38_ECRUTEAK_GATE	9	5	Ecruteak	Ecruteak West to Route 38 Gate Entrance 2
MAHOGANY_TOWN	11	7	MAHOGANY_MART_1F	3	7	Mahogany	MAHOGANY_MART_1F Entrance
MAHOGANY_TOWN	17	7	MAHOGANY_RED_GYARADOS_SPEECH_HOUSE	2	7	Mahogany	MAHOGANY_RED_GYARADOS_SPEECH_HOUSE Entrance
MAHOGANY_TOWN	6	13	MAHOGANY_GYM	4	17	Mahogany Rockets Cleared	MAHOGANY_GYM Entrance
MAHOGANY_TOWN	15	13	MAHOGANY_POKECENTER_1F	3	7	Mahogany	MAHOGANY_POKECENTER_1F Entrance
MAHOGANY_TOWN	9	1	ROUTE_43_MAHOGANY_GATE	4	7	Mahogany	Mahogany North to Route 43 Gate Entrance
LAKE_OF_RAGE	7	3	LAKE_OF_RAGE_HIDDEN_POWER_HOUSE	2	7	Lake Of Rage Cut	LAKE_OF_RAGE_HIDDEN_POWER_HOUSE Entrance
LAKE_OF_RAGE	27	31	LAKE_OF_RAGE_MAGIKARP_HOUSE	2	7	Lake Of Rage	LAKE_OF_RAGE_MAGIKARP_HOUSE Entrance
BLACKTHORN_CITY	18	11	BLACKTHORN_GYM_1F	4	17	Blackthorn Rockets Cleared	BLACKTHORN_GYM_1F Entrance
BLACKTHORN_CITY	13	21	BLACKTHORN_DRAGON_SPEECH_HOUSE	2	7	Blackthorn	BLACKTHORN_DRAGON_SPEECH_HOUSE Entrance
BLACKTHORN_CITY	29	23	BLACKTHORN_EMYS_HOUSE	2	7	Blackthorn	BLACKTHORN_EMYS_HOUSE Entrance
BLACKTHORN_CITY	15	29	BLACKTHORN_MART	3	7	Blackthorn	BLACKTHORN_MART Entrance
BLACKTHORN_CITY	21	29	BLACKTHORN_POKECENTER_1F	3	7	Blackthorn	BLACKTHORN_POKECENTER_1F Entrance
BLACKTHORN_CITY	9	31	MOVE_DELETERS_HOUSE	2	7	Blackthorn	MOVE_DELETERS_HOUSE Entrance
BLACKTHORN_CITY	36	9	ICE_PATH_1F	36	27	Blackthorn	Blackthorn City Ice Path Entrance
BLACKTHORN_CITY	20	1	DRAGONS_DEN_1F	3	5	Blackthorn Clair Defeated Surf	DRAGONS_DEN_1F Entrance
SILVER_CAVE_OUTSIDE	23	19	SILVER_CAVE_POKECENTER_1F	3	7	Silver Outside	SILVER_CAVE_POKECENTER_1F Entrance
SILVER_CAVE_OUTSIDE	18	11	SILVER_CAVE_ROOM_1	9	33	Silver Outside	SILVER_CAVE_ROOM_1 Entrance
ROUTE_26	7	5	VICTORY_ROAD_GATE	9	17	Route 26	Route 26 North to Victory Road Gate Entrance
ROUTE_26	15	57	ROUTE_26_HEAL_HOUSE	2	7	Route 26	ROUTE_26_HEAL_HOUSE Entrance
ROUTE_26	5	71	DAY_OF_WEEK_SIBLINGS_HOUSE	2	7	Route 26	DAY_OF_WEEK_SIBLINGS_HOUSE Entrance
ROUTE_27	33	7	ROUTE_27_SANDSTORM_HOUSE	2	7	Tojho Exit	ROUTE_27_SANDSTORM_HOUSE Entrance
ROUTE_27	26	5	TOHJO_FALLS	13	15	Tojho West	Tojho Falls West Entrance
ROUTE_27	36	5	TOHJO_FALLS	25	15	Tojho Exit	Tojho Falls East Entrance
ROUTE_28	7	3	ROUTE_28_STEEL_WING_HOUSE	2	7	28 Cut	ROUTE_28_STEEL_WING_HOUSE Entrance
ROUTE_28	33	5	VICTORY_ROAD_GATE	1	7	Silver Outside	Route 28 East to Victory Road Gate Entrance
ROUTE_29	27	1	ROUTE_29_ROUTE_46_GATE	4	7	Cherrygrove	Route 29 to Route 46 Gate Entrance
ROUTE_30	7	39	ROUTE_30_BERRY_HOUSE	2	7	Cherrygrove	ROUTE_30_BERRY_HOUSE Entrance
ROUTE_30	17	5	MR_POKEMONS_HOUSE	2	7	Cherrygrove	MR_POKEMONS_HOUSE Entrance
ROUTE_31	4	6	ROUTE_31_VIOLET_GATE	9	4	Route 31	ROUTE_31_VIOLET_GATE Entrance
ROUTE_31	4	7	ROUTE_31_VIOLET_GATE	9	5	Route 31	ROUTE_31_VIOLET_GATE Entrance 2
ROUTE_31	34	5	DARK_CAVE_VIOLET_ENTRANCE	3	15	Route 31	DARK_CAVE_VIOLET_ENTRANCE Entrance
ROUTE_32	11	73	ROUTE_32_POKECENTER_1F	3	7	Route 32	ROUTE_32_POKECENTER_1F Entrance
ROUTE_32	4	2	ROUTE_32_RUINS_OF_ALPH_GATE	9	4	Violet	Route 32 to Ruins Gate Entrance
ROUTE_32	4	3	ROUTE_32_RUINS_OF_ALPH_GATE	9	5	Violet	Route 32 to Ruins Gate Entrance 2
ROUTE_32	6	79	UNION_CAVE_1F	17	3	Route 32	Route 32 Union Cave Entrance
ROUTE_33	11	9	UNION_CAVE_1F	17	31	Azalea	Route 33 Union Cave Entrance
ROUTE_34	13	37	ROUTE_34_ILEX_FOREST_GATE	4	0	Goldenrod	Route 34 to Ilex Gate Entrance
ROUTE_34	14	37	ROUTE_34_ILEX_FOREST_GATE	5	0	Goldenrod	Route 34 to Ilex Gate Entrance 2
ROUTE_34	11	14	DAY_CARE	0	5	Goldenrod	Route 34 Daycare Entrance
ROUTE_34	11	15	DAY_CARE	0	6	Goldenrod	Route 34 Daycare Entrance 2
ROUTE_34	13	15	DAY_CARE	2	7	Day Care Outside	Day Care Pokemon Entrance
ROUTE_35	9	33	ROUTE_35_GOLDENROD_GATE	4	0	Route 35 Route	Route 35 to Goldenrod Gate Entrance
ROUTE_35	10	33	ROUTE_35_GOLDENROD_GATE	5	0	Route 35 Route	Route 35 to Goldenrod Gate Entrance 2
ROUTE_35	3	5	ROUTE_35_NATIONAL_PARK_GATE	3	7	Route 35 Route	Route 35 to National Park Gate Entrance
ROUTE_36	18	8	ROUTE_36_NATIONAL_PARK_GATE	9	4	Route 36	Route 36 to National Park Gate Entrance
ROUTE_36	18	9	ROUTE_36_NATIONAL_PARK_GATE	9	5	Route 36	Route 36 to National Park Gate Entrance 2
ROUTE_36	47	13	ROUTE_36_RUINS_OF_ALPH_GATE	4	0	Violet	Route 36 to Ruins Gate Entrance
ROUTE_36	48	13	ROUTE_36_RUINS_OF_ALPH_GATE	5	0	Violet	Route 36 to Ruins Gate Entrance 2
ROUTE_38	35	8	ROUTE_38_ECRUTEAK_GATE	0	4	Olivine	Route 38 to Ecruteak Gate Entrance
ROUTE_38	35	9	ROUTE_38_ECRUTEAK_GATE	0	5	Olivine	Route 38 to Ecruteak Gate Entrance 2
ROUTE_39	1	3	ROUTE_39_BARN	3	7	Olivine	ROUTE_39_BARN Entrance
ROUTE_39	5	3	ROUTE_39_FARMHOUSE	2	7	Olivine	ROUTE_39_FARMHOUSE Entrance
ROUTE_40	9	5	ROUTE_40_BATTLE_TOWER_GATE	4	7	Olivine	Route 40 to Battle Tower Gate Entrance
ROUTE_41	12	17	WHIRL_ISLAND_NW	5	7	Whirl NW	WHIRL_ISLAND_NW Entrance
ROUTE_41	36	19	WHIRL_ISLAND_NE	3	13	Whirl NE	WHIRL_ISLAND_NE Entrance
ROUTE_41	12	37	WHIRL_ISLAND_SW	5	7	Whirl SW	WHIRL_ISLAND_SW Entrance
ROUTE_41	36	45	WHIRL_ISLAND_SE	5	13	Whirl SE	WHIRL_ISLAND_SE Entrance
ROUTE_42	0	8	ROUTE_42_ECRUTEAK_GATE	9	4	Route 42 West	Route 42 to Ecruteak Gate Entrance
ROUTE_42	0	9	ROUTE_42_ECRUTEAK_GATE	9	5	Route 42 West	Route 42 to Ecruteak Gate Entrance 2
ROUTE_42	10	5	MOUNT_MORTAR_1F_OUTSIDE	3	33	Route 42 West	Mortar Entrance West Entrance
ROUTE_42	28	9	MOUNT_MORTAR_1F_OUTSIDE	17	33	Route 42 Center	Mortar Entrance Center Entrance
ROUTE_42	46	7	MOUNT_MORTAR_1F_OUTSIDE	37	33	Mahogany	Mortar Entrance East Entrance
ROUTE_43	9	51	ROUTE_43_MAHOGANY_GATE	4	0	Lake Of Rage	Route 43 to Mahogany Gate Entrance
ROUTE_43	10	51	ROUTE_43_MAHOGANY_GATE	5	0	Lake Of Rage	Route 43 to Mahogany Gate Entrance 2
ROUTE_43	17	35	ROUTE_43_GATE	4	7	Lake Of Rage	Route 43 Gate North Entrance
ROUTE_43	17	31	ROUTE_43_GATE	4	0	Lake Of Rage	Route 43 Gate South Entrance
ROUTE_43	18	31	ROUTE_43_GATE	5	0	Lake Of Rage	Route 43 Gate South Entrance 2
ROUTE_44	56	7	ICE_PATH_1F	4	19	Mahogany 7 Badges	Route 44 Ice Path Entrance
ROUTE_45	2	5	DARK_CAVE_BLACKTHORN_ENTRANCE	23	3	Blackthorn	DARK_CAVE_BLACKTHORN_ENTRANCE Entrance
ROUTE_46	7	33	ROUTE_29_ROUTE_46_GATE	4	0	Blackthorn Lower	Route 46 to Route 29 Gate Entrance
ROUTE_46	8	33	ROUTE_29_ROUTE_46_GATE	5	0	Blackthorn Lower	Route 46 to Route 29 Gate Entrance 2
ROUTE_46	14	5	DARK_CAVE_VIOLET_ENTRANCE	35	33	Blackthorn Lower Still	Route 46 Dark Cave Entrance
PEWTER_CITY	29	13	PEWTER_NIDORAN_SPEECH_HOUSE	2	7	West Kanto	PEWTER_NIDORAN_SPEECH_HOUSE Entrance
PEWTER_CITY	16	17	PEWTER_GYM	4	13	West Kanto	PEWTER_GYM Entrance
PEWTER_CITY	23	17	PEWTER_MART	3	7	West Kanto	PEWTER_MART Entrance
PEWTER_CITY	13	25	PEWTER_POKECENTER_1F	3	7	West Kanto	PEWTER_POKECENTER_1F Entrance
PEWTER_CITY	7	29	PEWTER_SNOOZE_SPEECH_HOUSE	2	7	West Kanto	PEWTER_SNOOZE_SPEECH_HOUSE Entrance
ROUTE_2	15	15	ROUTE_2_NUGGET_HOUSE	2	7	Route 2 Diglett	ROUTE_2_NUGGET_HOUSE Entrance
ROUTE_2	15	31	ROUTE_2_GATE	4	7	Route 2 Cut	Route 2 Gate North Entrance
ROUTE_2	16	27	ROUTE_2_GATE	4	0	Route 2 South	Route 2 Gate South Entrance
ROUTE_2	17	27	ROUTE_2_GATE	5	0	Route 2 South	Route 2 Gate South Entrance 2
ROUTE_2	12	7	DIGLETTS_CAVE	15	5	Route 2 Diglett	Route 2 Digletts Cave Entrance
VIRIDIAN_CITY	32	7	VIRIDIAN_GYM	4	17	West Kanto	VIRIDIAN_GYM Entrance
VIRIDIAN_CITY	21	9	VIRIDIAN_NICKNAME_SPEECH_HOUSE	2	7	West Kanto	VIRIDIAN_NICKNAME_SPEECH_HOUSE Entrance
VIRIDIAN_CITY	23	15	TRAINER_HOUSE_1F	2	13	West Kanto	TRAINER_HOUSE_1F Entrance
VIRIDIAN_CITY	29	19	VIRIDIAN_MART	3	7	West Kanto	VIRIDIAN_MART Entrance
VIRIDIAN_CITY	23	25	VIRIDIAN_POKECENTER_1F	3	7	West Kanto	VIRIDIAN_POKECENTER_1F Entrance
ROUTE_22	13	5	VICTORY_ROAD_GATE	17	7	West Kanto	Route 22 to Victory Road Gate Entrance
PALLET_TOWN	5	5	REDS_HOUSE_1F	2	7	West Kanto	REDS_HOUSE_1F Entrance
PALLET_TOWN	13	5	BLUES_HOUSE	2	7	West Kanto	BLUES_HOUSE Entrance
PALLET_TOWN	12	11	OAKS_LAB	4	11	West Kanto	OAKS_LAB Entrance
CINNABAR_ISLAND	11	11	CINNABAR_POKECENTER_1F	3	7	Cinnabar	CINNABAR_POKECENTER_1F Entrance
ROUTE_20	38	7	SEAFOAM_GYM	5	5	Seafoam Gym Entrance	SEAFOAM_GYM Entrance
ROUTE_19	7	3	ROUTE_19_FUCHSIA_GATE	4	7	Route 19 Boulders	ROUTE_19_FUCHSIA_GATE Entrance
FUCHSIA_CITY	5	13	FUCHSIA_MART	3	7	Fuchsia Back	FUCHSIA_MART Entrance
FUCHSIA_CITY	22	13	SAFARI_ZONE_MAIN_OFFICE	2	7	Fuchsia	SAFARI_ZONE_MAIN_OFFICE Entrance
FUCHSIA_CITY	8	27	FUCHSIA_GYM	4	17	Fuchsia	FUCHSIA_GYM Entrance
FUCHSIA_CITY	11	27	BILLS_BROTHERS_HOUSE	2	7	Fuchsia	BILLS_BROTHERS_HOUSE Entrance
FUCHSIA_CITY	19	27	FUCHSIA_POKECENTER_1F	3	7	Fuchsia	FUCHSIA_POKECENTER_1F Entrance
FUCHSIA_CITY	27	27	SAFARI_ZONE_WARDENS_HOME	2	7	Fuchsia	SAFARI_ZONE_WARDENS_HOME Entrance
FUCHSIA_CITY	18	3	SAFARI_ZONE_FUCHSIA_GATE_BETA	4	7	X	X
FUCHSIA_CITY	37	22	ROUTE_15_FUCHSIA_GATE	0	4	Fuchsia	Fuchsia To Route 15 Gate Entrance
FUCHSIA_CITY	37	23	ROUTE_15_FUCHSIA_GATE	0	5	Fuchsia	Fuchsia To Route 15 Gate Entrance 2
FUCHSIA_CITY	7	35	ROUTE_19_FUCHSIA_GATE	4	0	Fuchsia	Fuchsia To Route 19 Gate Entrance
FUCHSIA_CITY	8	35	ROUTE_19_FUCHSIA_GATE	5	0	Fuchsia	Fuchsia To Route 19 Gate Entrance 2
ROUTE_18	2	6	ROUTE_17_ROUTE_18_GATE	9	4	Fuchsia	Route 18 to Route 17 Gate Entrance
ROUTE_18	2	7	ROUTE_17_ROUTE_18_GATE	9	5	Fuchsia	Route 18 to Route 17 Gate Entrance 2
ROUTE_17	17	82	ROUTE_17_ROUTE_18_GATE	0	4	Cycling Road	Route 17 to Route 18 Gate Entrance
ROUTE_17	17	83	ROUTE_17_ROUTE_18_GATE	0	5	Cycling Road	Route 17 to Route 18 Gate Entrance 2
ROUTE_16	3	1	ROUTE_16_FUCHSIA_SPEECH_HOUSE	2	7	Celadon Cut North	ROUTE_16_FUCHSIA_SPEECH_HOUSE Entrance
ROUTE_16	14	6	ROUTE_16_GATE	9	4	Cycling Road	Route 16 to Celadon Gate Entrance
ROUTE_16	14	7	ROUTE_16_GATE	9	5	Cycling Road	Route 16 to Celadon Gate Entrance 2
