Start Warp Name	Start Warp Group	->	End Warp Name	End Warp Group
ELMS_LAB Entrance	(New Bark)	->	ELMS_LAB Exit	(Elms Lab)
PLAYERS_HOUSE_1F Entrance	(New Bark)	->	PLAYERS_HOUSE_1F Exit	(Players House)
PLAYERS_NEIGHBORS_HOUSE Entrance	(New Bark)	->	New Bark House Exit	(New Bark House)
ELMS_HOUSE Entrance	(New Bark)	->	ELMS_HOUSE Exit	(Elms House)
CHERRYGROVE_MART Entrance	(Cherrygrove)	->	CHERRYGROVE_MART Exit 2	(Cherrygrove Mart)
CHERRYGROVE_POKECENTER_1F Entrance	(Cherrygrove)	->	CHERRYGROVE_POKECENTER_1F Exit	(Cherrygrove Center)
Cherrygrove West House Entrance	(Cherrygrove)	->	CHERRYGROVE_GYM_SPEECH_HOUSE Exit	(Cherrygrove Gym House)
GUIDE_GENTS_HOUSE Entrance	(Cherrygrove)	->	GUIDE_GENTS_HOUSE Exit	(Cherrygrove Guide House)
Cherrygrove East House Entrance	(Cherrygrove)	->	CHERRYGROVE_EVOLUTION_SPEECH_HOUSE Exit	(Cherrygrove Evolution House)
VIOLET_MART Entrance	(Violet)	->	VIOLET_MART Exit 2	(Violet Mart)
VIOLET_GYM Entrance	(Violet)	->	VIOLET_GYM Exit	(Violet Gym)
Violet School Entrance	(Violet)	->	Violet School Exit	(Violet School)
VIOLET_NICKNAME_SPEECH_HOUSE Entrance	(Violet)	->	VIOLET_NICKNAME_SPEECH_HOUSE Exit	(Violet Nickname House)
VIOLET_POKECENTER_1F Entrance	(Violet)	->	VIOLET_POKECENTER_1F Exit	(Violet Center)
Violet Trade House Entrance	(Violet)	->	Violet Trade House Exit	(Violet Trade House)
Sprout Tower Entrance Entrance	(Violet)	->	SPROUT_TOWER_1F Exit	(Sprout Tower 1F)
Violet Exit To Route 31 Gate Entrance	(Violet)	->	Route 31 to Violet Gate Exit	(Violet/Route 31 Gate)
Violet Exit To Route 31 Gate Entrance 2	(Violet)	->	Route 31 to Violet Gate Exit 2	(Violet/Route 31 Gate)
AZALEA_POKECENTER_1F Entrance	(Azalea)	->	AZALEA_POKECENTER_1F Exit	(Azalea Center)
CHARCOAL_KILN Entrance	(Azalea)	->	CHARCOAL_KILN Exit	(Charcoal Kiln)
AZALEA_MART Entrance	(Azalea)	->	AZALEA_MART Exit 2	(Azalea Mart)
KURTS_HOUSE Entrance	(Azalea)	->	KURTS_HOUSE Exit	(Kurts House)
AZALEA_GYM Entrance	(Azalea Saved Slowpokes)	->	AZALEA_GYM Exit	(Azalea Gym)
SLOWPOKE_WELL_B1F Entrance	(Azalea Met Kurt)	->	Slowpoke Well Exit	(Slowpoke Well Main Entrance)
Azalea Exit to Ilex Gate Entrance	(Azalea)	->	Ilex to Azalea Gate Exit	(Azalea/Ilex Gate)
Azalea Exit to Ilex Gate Entrance 2	(Azalea)	->	Ilex to Azalea Gate Exit 2	(Azalea/Ilex Gate)
Shuckle House Entrance	(Cianwood)	->	Shuckle House Exit	(Shuckle House)
CIANWOOD_GYM Entrance	(Cianwood)	->	CIANWOOD_GYM Exit	(Cianwood Gym)
CIANWOOD_POKECENTER_1F Entrance	(Cianwood)	->	CIANWOOD_POKECENTER_1F Exit	(Cianwood Center)
CIANWOOD_PHARMACY Entrance	(Cianwood)	->	CIANWOOD_PHARMACY Exit	(Cianwood Pharmacy)
CIANWOOD_PHOTO_STUDIO Entrance	(Cianwood)	->	Cianwood Photo House Exit	(Cianwood Photo House)
CIANWOOD_LUGIA_SPEECH_HOUSE Entrance	(Cianwood)	->	CIANWOOD_LUGIA_SPEECH_HOUSE Exit	(Cianwood Lugia House)
POKE_SEERS_HOUSE Entrance	(Cianwood)	->	POKE_SEERS_HOUSE Exit	(Cianwood Seers House)
GOLDENROD_GYM Entrance	(Goldenrod)	->	GOLDENROD_GYM Exit	(Goldenrod Gym)
GOLDENROD_BIKE_SHOP Entrance	(Goldenrod)	->	GOLDENROD_BIKE_SHOP Exit	(Goldenrod Bike Shop)
GOLDENROD_HAPPINESS_RATER Entrance	(Goldenrod)	->	Goldenrod Happiness House Exit	(Goldenrod Happiness House)
BILLS_FAMILYS_HOUSE Entrance	(Goldenrod Rocket Corner Block)	->	Bills House Exit	(Bills House)
GOLDENROD_MAGNET_TRAIN_STATION Entrance	(Goldenrod)	->	GOLDENROD_MAGNET_TRAIN_STATION Exit 2	(Goldenrod Station)
GOLDENROD_FLOWER_SHOP Entrance	(Goldenrod)	->	GOLDENROD_FLOWER_SHOP Exit	(Flower Shop)
GOLDENROD_PP_SPEECH_HOUSE Entrance	(Goldenrod Rocket Block North)	->	GOLDENROD_PP_SPEECH_HOUSE Exit	(Goldenrod PP House)
GOLDENROD_NAME_RATER Entrance	(Goldenrod)	->	GOLDENROD_NAME_RATER Exit	(Goldenrod Name Rater)
GOLDENROD_DEPT_STORE_1F Entrance	(Goldenrod)	->	Goldenrod Dept. Store Exit	(Goldenrod Dept. Store)
GOLDENROD_GAME_CORNER Entrance	(Goldenrod Rocket Corner Block)	->	GOLDENROD_GAME_CORNER Exit	(Goldenrod Game Corner)
RADIO_TOWER_1F Entrance	(Goldenrod)	->	Goldenrod Radio Tower Exit	(Radio Tower 1F)
Goldenrod North To Route 35 Gate Entrance	(Goldenrod)	->	Route 35 to Goldenrod Gate Exit	(Goldenrod/Route 35 Gate)
Goldenrod Underground North Entrance	(Goldenrod)	->	Goldenrod Underground South Hall Carpet 	(Goldenrod Underground South Hall)
Goldenrod Underground South Entrance	(Goldenrod Rocket Corner Block)	->	Goldenrod Underground North Hall Carpet Entrance	(Goldenrod Underground North Hall)
GOLDENROD_POKECENTER_1F Entrance	(Goldenrod)	->	GOLDENROD_POKECENTER_1F Exit	(Goldenrod Center)
OLIVINE_POKECENTER_1F Entrance	(Olivine)	->	OLIVINE_POKECENTER_1F Exit	(Olivine Center)
OLIVINE_GYM Entrance	(Olivine)	->	OLIVINE_GYM Exit	(Olivine Gym)
OLIVINE_TIMS_HOUSE Entrance	(Olivine)	->	Olivine Trade House Exit	(Olivine Trade House)
OLIVINE_HOUSE_BETA Entrance	(Olivine)	->	X	(X)
OLIVINE_PUNISHMENT_SPEECH_HOUSE Entrance	(Olivine)	->	OLIVINE_PUNISHMENT_SPEECH_HOUSE Exit	(Olivine Punishment House)
OLIVINE_GOOD_ROD_HOUSE Entrance	(Olivine)	->	OLIVINE_GOOD_ROD_HOUSE Exit	(Olivine Good Rod House)
OLIVINE_CAFE Entrance	(Olivine)	->	OLIVINE_CAFE Exit	(Olivine Cafe)
OLIVINE_MART Entrance	(Olivine)	->	OLIVINE_MART Exit 2	(Olivine Mart)
OLIVINE_LIGHTHOUSE_1F Entrance	(Olivine)	->	OLIVINE_LIGHTHOUSE_1F Exit	(Lighthouse 1F)
OLIVINE_PORT_PASSAGE Entrance	(Olivine)	->	OLIVINE_PORT_PASSAGE Exit	(Olivine Port House)
OLIVINE_PORT_PASSAGE Entrance 2	(Olivine)	->	OLIVINE_PORT_PASSAGE Exit 2	(Olivine Port House)
Ecruteak East to Route 42 Gate Entrance	(Ecruteak)	->	Ecruteak Exit from Route 42 	(Ecruteak/Route 42 Gate)
